company,job,summary
"MINDBODY, Inc",Senior Data Warehouse Engineer, The Data Engineering (DE) branch of MINDBODY’s Data Science department is focused on providing innovative and large-scale data platform solutions in a shared...
Genentech,Senior Data Scientist," Master and/or doctorate degree in data science, economics, epidemiology, public health, psychology, statistics, or other health services research related..."
Exabeam,Senior Big Data Engineer," Big Data Engineer to join our Data Lake engineering team. Uniquely combines a data lake for unlimited data collection at a predictable price, machine...."
"Turnitin, LLC",Principal Machine Learning Scientist (REMOTE), A massive amount of data. Experience working with text data to build predictive models. Ability to visualize and explain insights gathered during data...
Conviva,"Software Engineer, Big Data Applications"," Strong knowledge of OOD/OOP principles, exceptional knowledge of CS fundamentals, distributed systems, data structures, algorithms...."
Color Genomics,Senior Data Scientist, Working with engineering to build infrastructure for data science and modeling. You're well-versed in the tools of the modern data science trade:....
Ten-X,Lead Data Engineer," Create data environment to support our data analytics, reporting and data science teams. Bachelor's Degree in computer science, data science or related fields;..."
AKQA,Senior Analyst - Web Analytics," 3 – 5+ years of digital media, analytics and data science expertise. The Senior Analyst has 3 – 5+ years of digital media, analytics and data science expertise;..."
Ipsy,Machine Learning Infrastructure Engineer," Experience with ETL and big data tools, e.g. Hadoop or Spark. Bachelor's in Computer Science, Computer Engineering, Mathematics, or equivalent field...."
Electronic Arts,Principal Data Scientist, Demonstrated experience applying Data Science methodologies to real world problems. Eager to use data for insights and has a demonstrated passion for applying...
Curbside,Senior Data Engineer - ETL/Data Pipeline, Design data schemas and manage operational scalability of data models. Track record working with data from multiple sources – willingness to dig-in and...
"Neustar, Inc.",Manager Statistician," Develop next gen attribution algorithms for unified consumer-centric solutions that incorporate new data assets such as individuals identity data, cross-devices..."
"Pinpoint Predictive, Inc",Senior Data Engineer," Work closely with, and in support of, the Data Science team. You are a passionate backend data engineer who can design highly scalable and reliable data..."
Sony Interactive Entertainment PlayStation,"Staff Software Engineer, Machine Learning (Back End)"," Work with big data and analyze millions of game platform data events to help build PlayStation Network search, recommendations, and trending game/entertainment..."
IPG Mediabrands,Mediabrands Data & Technology - Principal Software Engineer, Design &amp; Develop data validation frameworks/micro services to validate and ingest third-party data to Data Store....
Redfish Technology - High Tech Executive Recruiter...,Data Scientist, Job # 22924 - Data Scientist. Discovery tools and big data analytics. Heterogeneous streams of unstructured data in real-time....
Splunk,Software Engineer – Machine Learning," Experience with popular big data analysis platforms (Hadoop, Spark, Splunk etc.). Software Engineer – Machine Learning Team...."
Electronic Arts,AI Scientist - Machine Learning Focus," In Computer Science, or related fields (focus in NLP or ML a plus). Develop state-of-the-art algorithms and extract key insights from EA’s rich store of data to..."
Lawrence Berkeley National Laboratory,Postdoctoral Scholar in Machine Learning and Chemical Sciences," Berkeley Lab is seeking a Postdoctoral Scholar for research focused on the development machine learning approaches, algorithms and data sets to solve chemical..."
Funding Circle US,"Senior Data Scientist, Customer Analytics", Of experience in business optimization driven through data. Comfortable working with limited data at times and using judgement....
Redfish Technology - High Tech Executive Recruiter...,Large Data Engineer (NLP) AI / ML Enhanced Engagement for Enterprises, Large Data Engineer (NLP) AI / ML Enhanced Engagement for Enterprises. As a ML/NLP/Large Data Engineer you will be responsible for building and improving ML...
