company,job,summary
Square,"Product Designer, Weebly", Data and metrics driven. Initiate and ship work that has a big impact. Participate in user tests and synthesize data — test and validate your design choices....
Adobe,Account Development Manager," We're the ones behind the gorgeously designed content that streams across your laptop, TV, phone, and tablet every day—and we’re the ones who harness the..."
JUUL Labs,"Associate/Sr. Associate, Strategic Initiatives", We'll help you set big goals - and exceed them. JUUL's mission is to improve the lives of the world's one billion adult smokers by driving innovation to...
QuinStreet,Data Analyst, You will use data mining and statistical methods to extract valuable insights from our data that lead to maximizing ROI....
Uber,Course Operations Specialist," Analyze data to identify opportunities for process, knowledge and communication improvements. Self-directed and takes initiative in tackling problems big and..."
Snowflake Computing,Sales Operations Associate," Snowflake Computing, the cloud data warehousing company, has reinvented the data warehouse for the cloud and today’s data...."
Zendesk,Chief Customer Officer," By submitting your application, you agree that Zendesk may collect your personal data for recruiting, global organization planning, and related purposes...."
"Williams-Sonoma, Inc.","Buyer, Electrics - Williams-Sonoma Brand", We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Role....
"Williams-Sonoma, Inc.",Email Analyst, Comfortable working with large data sets and the ability to modify and join data from different sources. We've seen some big changes since our first brick-and...
Levi Strauss & Co.,Sr. Big Data Engineer," The Senior Big Data Engineer reporting to Director, Data Engineering and Analytics will be responsible for building the next generation Big Data analytics..."
MVM,Data Analyst III, Data Analyst III/Administrative Support. The Administrative/Data Entry Support Specialist has experience in handling a wide range of administrative and support...
"Williams-Sonoma, Inc.","Assistant Planner, Textiles - Williams Sonoma Home"," We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. Founded in 1956, Williams-Sonoma, Inc...."
Hearst Auto,Analyst," Working knowledge of Amazon Redshift or other big data clusters. Creating data visualizations in web-based dashboards (e.g., Tableau, Data Studio, etc.)...."
Financial Technology Partners,Presentation Designer, Ability to work with large quantities of data and create meaningful presentations through that data. Flawless attention to detail while keeping big picture...
LendingClub,Data Governance Analyst, Data Governance Analyst. Experience in driving data standardization efforts. The LendingClub Data team is responsible for this....
JUUL Labs,Brand Protection Evidence Custodian, Experience working with confidential data. We'll help you set big goals - and exceed them. JUUL's mission is to improve the lives of the world's one billion...
JUUL Labs,Global Content Specialist," We'll help you set big goals - and exceed them. Leverage feedback channels, and other data points to continually improve existing content and processes...."
Square,"Data Engineer, Web", Be the expert on end-to-end data flow for website data. Make underlying data architecture improvements and integrating new data sources Qualifications....
Cognizant,Big Data Solution Architect," We are looking for a Big Data Solution Architect. 23NF data modelingPL3Desired. Partner with a x-functional team of Architects, Data scientists, Data engineers,..."
Yelp,Software Engineer - Backend (Big Data), Work with product management and data science to identify and use data that is most relevant to the problem at hand....
Ubisoft,"Data Scientist, Audience Science"," The most common will be SQL/HiveQL for data extraction, R/Python/Spark for data analysis and Tableau for data visualization. Knowledge of data visualization...."
Capital Group,Administrative Assistant II," Proven ability to review data and create and maintain charts in Excel. Attention to detail is as important as keeping an eye on the big picture, as is the..."
Twitter,"Data Scientist, Product"," You are passionate about insights, not just data. Twitter users generate many terabytes of data every single day;..."
Snowflake Computing,Data Analyst," Snowflake Computing, the cloud data warehousing company, has reinvented the data warehouse for the cloud and today’s data...."
CarMax,Sales Consultant (part-time)," Reading, collecting, and transcribing data in order to complete accurate paperwork. This positive work environment leads to a positive customer experience, and..."
New Relic,Administrative Assistant, A flexible attitude and open to big or small tasks. Our stewardship of the data of many thousands of customers means that a criminal background check is...
"Williams-Sonoma, Inc.",Assistant Buyer, We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Role....
