company,job,number_of_evaluations
Deloitte,Stagiaire Actuariat – Le Scoring de la solvabilité et de la performance des assureurs à partir de l’open data (H/F),6 694 avis
EY Société d'Avocats,Data Analyst expérimenté H/F Paris (Tax Technology and Transformation),6 avis
Meetic Group,Data & Business Analyst (W/M),-
PwC,Financial Services Regulatory & Data Manager,5 524 avis
soft.computing,Responsable Communication,-
InterQuest Group,Data Anlyst,-
Dailymotion,DevOps Data - Data Tribe (M/F),10 avis
AB,Programmeur SAS,6 avis
Algorithm lover <3,BigData & Search Administrator H/F,-
Coty Inc.,Senior Manager - Data Science,441 avis
NOKIA,Data Visualization and Machine Learning Engineer,3 315 avis
Saint-Gobain,Stage - Data Scientist/Environmental Data Analyst (H/F),1 989 avis
RHAPSODIES CONSEIL,Manager Transformation Data F/H,-
Wake It Up,Ingénieur data – hors du commun – solution saas,-
UMANIS,CONSULTANT CRM / Freelance,11 avis
BENEXT,Data Product Owner - DataLake looking for Captain - F/H,-
AXA,Alternance - Data Analyst/Chargé(e) d'études Claims analytics (H/F),-
ANALYSE INFORMATIQUE DE DONNEES,Manager big data analytics F/H,-
CAP FI TECHNOLOGY,MOA Progiciels Financiers - H/F,-
NOKIA,Bell Labs : Data Analytics Researcher,3 315 avis
BNP Paribas,DATA ANALYST H/F – DIGITAL PATH - BNP PARIBAS REAL ESTATE,2 123 avis
NOKIA,AVA Data Scientists,3 315 avis
Micropole,EXPERTS DATAMINING / DATASCIENCE H/F,9 avis
Orange,Data scientist orienté(e) stratégie F/H,1 469 avis
McKinsey & Company,Data Engineer - Digital McKinsey,361 avis
Solog,"Consultant décisionnel COGNOS TM1 Junior, Lyon",-
Denodo Technologies,Data Engineer - SQL / Big Data / Java,-
Solog,Chef de projet décisionnel (H/F),-
Talan,Chef de projet EAM Maximo (H/F),7 avis
CGI,Concepteur Décisionnel BO/Informatica H/F,1 659 avis
Groupe Estia,Datascientist (H/F),-
Covance,Start-up Associate,410 avis
MSD,CDD Analyste SFE - H/F,500 avis
BTI - Advisory,consultant informatique Data Scientist,-
HARNHAM,Data Scientist Senior F/H,-
AKOYA,Manager,2 avis
GENIOUS SYSTEMES,INGÉNIEUR BIG DATA F/H,-
KPMG,Manager - Big Data Architect -Technology Transformation,4 383 avis
Denodo,Data Engineer - SQL / Big Data / Java,-
Bluecoders,Resp de la sécurité des syst,4 avis
BUSINESS & DECISION LIFE,Coordinateur d'Essais Clinique en Oncologie F/H,-
ESTIA CONSEIL,Datamanager F/H,-
UMANIS SA,Consultant Big Data F/H,2 avis
Talan,Consultant décisionnel EPM Hyperion Essbase (H/F),7 avis
BNP Paribas,FULL STACK DEV / OPS,2 123 avis
CAP FI TECHNOLOGY,IT Quant H/F,-
Valeo Türkiye,DATA ARCHITECT M/W,-
