company,job,number_of_evaluations
Conrad Electronic,Head of IoT-Technology and Development Berlin (m/f),10 Bewertungen
N26,Business Operations Manager,-
EMnify GmbH,Commercial Product Manager (m/f),-
Zalando Media Solutions GmbH,Intern - Ad Operations,-
DB,(Senior) Projektmanager People Analytics (w/m),37 Bewertungen
Verne AI,Senior NLP/Software Engineer // Verne AI,-
Amazon.com,Software Development Engineer (f/m),24.701 Bewertungen
Würth IT,Ausbildung Wirtschaftsinformatik Data Science,-
On AG,Digital Product Manager / Growth Master,-
ResearchGate GmbH,Human Resources Manager – Business Partner (m/f),-
T-Systems International GmbH,Senior Big Data Architect Internet of Things (m/w),101 Bewertungen
Wayfair,Product Manager (m/f),321 Bewertungen
ResearchGate GmbH,Human Resources Manager (m/f),-
Zalando SE,Senior Security Specialist,78 Bewertungen
AppLift,Software Engineer (m/f) for AppLift,-
Zalando SE,Lead Assurance,78 Bewertungen
HERE Technologies,Head of Quality - Software Development m/f,193 Bewertungen
Amazon.com,"Business Development Manager, Amazon Pay",24.701 Bewertungen
i2x GMBH,Software Engineer (Front-End),-
Euro London Appointments,English Speaking Legal Counsel - GDPR,3 Bewertungen
Smart Host,CTO / Tech Lead (m/w) // Smart Host,-
MSA Technologies and Enterprise Services,Software Engineer / Analyst - Quality (m/f),-
HERE Technologies,Lead Software Engineer Distributed Compilation Frameworks m/f,193 Bewertungen
Resourcing Life,Clinical Trial Assistant Berlin Office based,-
Headmatch,Scientist for Energy Storage Materials (m/f),-
Deutsche Bahn,Junior Berater Inhouse Consulting DB Training (w/m),391 Bewertungen
DB,Artificial Intelligence Specialist für die Digitalisierung im Schienenverkehr am Standort Berlin (w/m),37 Bewertungen
HDR,Projektleiter (Project Manager),-
Amazon.com,Germany Operations Lead - Amazon Web Services (m/f),24.701 Bewertungen
Zalando Media Solutions GmbH,Process Automation Engineer,-
Factory Berlin,(Senior) Full Stack Developer - Elixir and React,-
Zalando SE,Research Engineer - New Search Paradigms,78 Bewertungen
MBition GmbH,Lead Software Engineer - Navigation (m/f),-
Conrad Electronic,Senior Javascript Developer (m/f),10 Bewertungen
Quandoo GmbH,Head of B2B Product (m/w/t),8 Bewertungen
DB,Senior Analyst Digitale Strategie - Competence Center Digitalisierung (w/m),37 Bewertungen
Originate,Sr. Software Engineer,-
IQVIA,Key Account Manager,95 Bewertungen
HelloFresh,(Senior) Product Analyst (m/f),195 Bewertungen
GoEuro,Senior Manager Business and Reporting,-
