company,job,number_of_evaluations
ABN AMRO Bank,Compliance Advisor II Compliance Risk Management,1.008 reviews
Beerwulf,German Customer Contact Rockstar,-
Strukton,Coordinerend Werkvoorbereider PGO Amstelsepoort,33 reviews
Strukton,Werkvoorbereider PGO Amstelsepoort,33 reviews
YourProfessionals,Data Analist,-
ChipSoft,Consultant Capaciteitsmanagement,4 reviews
HTBA,Business Intelligence Ontwikkelaar,-
Seqirus A CSL Company,Manager IT Applications - R&D,-
Framer,Product Designer,-
Adyen,Product Designer,-
Booking.com,Connectivity Program Manager - Connected Home Properties,413 reviews
Universiteit van Amsterdam (UvA),Assistant or Associate professor in Big Data Statistics and Econometrics for Business,-
Deloitte,(Sr) Consultant Indirect Tax (BTW/VAT),6.694 reviews
Fahr-Becker,Big Data Engineer,-
Google,"Sales Engineering Manager, Google Cloud",2.392 reviews
Cargill,ERP Solution Architect,2.602 reviews
Antea Group,"(Afstudeer)opdracht ""Milieustraat van de toekomst""",34 reviews
Universiteit van Amsterdam,Assistant professor Multiscale Scientific Computing,19 reviews
Informatica,Technical Delivery Manager,-
Atos,Internship Finance & Accounting (P),1.626 reviews
Academisch Medisch Centrum,PhD student in Genetics of Cardiac Disorders,12 reviews
ABN AMRO Bank,Senior Quantitative Risk Analyst,1.008 reviews
HCS Company,Open Source Architect,-
HTBA,Top Vacature | SAP FICO CONSULTANT,-
Finest People,PPC Marketeer,11 reviews
ABN AMRO Bank,Information Security Officer - Vendor Management,1.008 reviews
EY,Manager – Performance Improvement - Supply Chain & Operations – Operational Excellence (OpEx) for Services,5.232 reviews
ASA talent,Accountmanager zakelijke dienstverlening Amsterdam,6 reviews
Kraft Heinz Company,Sr. Manager - Global Commodity Risk Management,2.879 reviews
VimpelCom,Senior Manager Risk Assurance Transformation,14 reviews
Effectory,Senior UX Designer,-
Textkernel,Senior Back-end Developer,-
Splunk,Senior Professional Services Consultant,-
HTBA,Business Intelligence Developer,-
Feedzai,Account Executive Fraud Solutions,-
MapR,Territory Sales Director - Benelux,-
Stryker,Junior Intercompany Accountant,1.039 reviews
PwC,Requirements Engineer,5.524 reviews
Framer,Backend Engineer,-
BOEING,Accountant,5.399 reviews
Projob,Sample Coordinator Amsterdam,-
Ebicus,(Afstudeer)stage,-
McKinsey & Company,"Consultant - Digital Supply Chain Management, Operations",361 reviews
CodeGuild,Senior Software Engineer Scala | up to € 75.000 + 10%,3 reviews
CodeGuild,Senior Big Data Engineer | up to € 75.000 + bonus,3 reviews
Informatica,Cloud Product Specialist (S),-
OLVG,Opleiding tot IC verpleegkundige,29 reviews
Harnham,SENIOR DATA SCIENTIST- FINANCE,-
Harnham,SENIOR DATA SCIENTIST- AMSTERDAM,-
Digital Source,Senior Data Scientist,-
Antea Group,Veldwerker in opleiding (mbo),34 reviews
BearingPoint,Business Account manager - Digital Strategy - Amsterdam,-
Deloitte,"(Senior) Manager BTW in het Public Sector team, Rotterdam",6.694 reviews
Aon,Internal Auditor,3.046 reviews
Atos,Worldline Sales Netherlands,1.626 reviews
Deloitte,Afstudeerstage IT Assurance,6.694 reviews
Mercer,Junior Pensioen Consultant,911 reviews
Tele2,Solution Architect Big Data & Analytics,31 reviews
OBI4wan,Front-end Developer,-
Optimizely,"Technical Support Engineer, EMEA",-
APG,(Senior) IT Auditor,47 reviews
Booking.com,Software Developer & People Manager,413 reviews
StudentJob,Enthusiastic bike riders in Amsterdam for TakeAway,-
Deloitte,Security Analyst (English),6.694 reviews
Hitachi Vantara,Services Sales Principal,-
NewPeople,Senior Digital Strategist,-
eBay Inc.,Senior Engineer,1.395 reviews
Nuon,Junior DevOps Engineer,59 reviews
Travix,Senior Systems Engineer - London,8 reviews
Travix,Senior Systems Engineer – Amsterdam,8 reviews
Universiteit van Amsterdam,PhD candidate in Smart Energy Systems,19 reviews
Booking.com,Cyber Security Lead for Defensive Technology & Operations,413 reviews
Amplitude,Strategic Account Executive (DACH/France),-
Backbase,Manager Finance & Control,4 reviews
Backbase,Freelance Finance Manager,4 reviews
Philips,Global lead eCommerce Product Management,2.724 reviews
Pegasystems,Test Automation Engineer,-
Informatica,MDM Senior Professional Services Consultant (S),-
PwC,Manager BTW Mergers & Acquisitions,5.524 reviews
Devoteam,Integration Architect,-
Universiteit van Amsterdam (UvA),PhD candidate in Smart Energy Systems,-
Hunt IT detachering,DBA Oracle 12.1,-
IMC Financial Markets,DevOps System Engineer,-
CodeGuild,Software Engineer Big Data Amsterdam,3 reviews
Search It Recruitment,Growth Marketer Amsterdam,-
VYE Professionals,Senior Business Consultant Data Analytics - Amsterdam,-
MessageBird,Senior Software Engineer PHP,-
Kraft Heinz Company,Intern Sales D&E,2.879 reviews
Elastic.co,Product Designer,-
Switch Engineers,Software Engineer,-
Edison,Concept Development Manager,-
Hanami International,Senior Internal Auditor - Amsterdam,-
Evoswitch,Internship opportunities at Evoswitch Datacenter.,-
Atos,Afstudeeropdrachten in regio Zuid,1.626 reviews
Atos,Junior Test Automation Engineer,1.626 reviews
Expand Online,Technisch Webanalist,-
Deptagency,Technisch Webanalist,-
Booking.com,Cyber Security Engineer - Content Development,413 reviews
The Mobile Company,Full Stack Web Developer,-
