company,job,number_of_evaluations
ASTRAKHAN,Consultant Data & Digital Integration,-
PwC,Consultant Data & Analytics,5 524 avis
Amontech,Ingénieur d’études et Développement JAVA / BIG DATA / HADOOP /SQL,-
AID,Datascientist Brest,39 avis
Plastic Omnium,Data Architect H-F,250 avis
AXA,Actuaire Data Scientist IARD Entreprises (F/H),-
Other Entities,BUSINESS DATA DESIGNER-(H/F),-
SG CIB,Chef de projet / Data analyste-(H/F),1 400 avis
UNION TECHNOLOGIES INFORMATIQUE GROUP,INGENIEUR CONFIRMÉ BIG DATA F/H,-
Institut du Cerveau et de la Moelle Épinière,Un(e) Chargé(e) de Mission Lymphome FINDMED (H/F),-
Group Corporate Functions,Alternance - Data Engineer-(H/F),-
Bouygues Telecom,Stage - AMOA/Data Analyst Qualité Expérience Client Mobile,365 avis
BNP Paribas,ARCHITECTE DATA ACCOMPAGNEMENT DES PROJETS - H/F,2 123 avis
EDF,Data scientist / data engineer - H/F,1 124 avis
Expectra.fr,EXPERT BIG DATA (F/H),37 avis
SENTELIS,Concepteur Développeur Big Data F/H,-
EDF,Data Engineer BI - H/F,1 124 avis
NOKIA,AVA Data Scientists,3 315 avis
Capgemini,"Consultant(e) BI / Big Data expérimenté(e), H/F",5 578 avis
BIAL-X,Consultant Formateur BI / BIG DATA F/H,-
soft.computing,Consultant AMOA Data,-
AXA,Data Lake Technical Leader,-
Cegedim,Data Scientist (H/F) - Boulogne Billancourt (France),49 avis
ORSYS,"INGÉNIEUR PÉDAGOGIQUE H/F, DANS LE DOMAINE DES TECHNOLOGIES NUMÉRIQUES",3 avis
GFI,Chef de projet MDM (Master Data Management) H/F,90 avis
Thales Group,[Stage] - Etablissement et visualisation d’ensembles et de corrélations de données au sein d’un Data Lake (H/F),791 avis
Criteo,Junior Software Engineer,21 avis
Wabel,Senior Data Scientist (CDI),-
AXA,Junior Investment Data Quality Analyst - (F/H) - Apprenticeship,-
Saint-Gobain,Stage Data Analyste Supply Chain (H/F),1 989 avis
Brand And Celebrities,Assistante RH (Stage),-
Thales Group,Data scientist orienté recherche / machine learning pour des applications dans le domaine de la cybersécurité et des transports (H/F),791 avis
Microsoft,Principal Solution Specialist Data & AI,4 486 avis
EY,"Data Analyst/Data Scientist – Paris, Lyon, Nantes (H/F)",5 232 avis
KATCHME,Responsable de projets Data Customer Intelligence F/H,-
Adsearch,ARCHITECTE BIG DATA (H/F),3 avis
Saint-Gobain,Stage Ingénieur Data Scientist (H/F),1 989 avis
CRMSERVICES,Assistant Data Analyst F/H,-
CAISSE NATIONALE DES ALLOCATIONS FAMILIALES,Chargé.e détudes et de statistiques F/H,-
-,Développement de méthodes de prédiction et de détection d’événements rares basé sur l’apprentissage profond,-
ZENIKA,Data architecte F/H,-
BUSINESS & DECISION,Data Ingenieur F/H,-
SAP,Data Science Platform Engineer at Enterprise Analytics (H/F),-
Teamnet France,MATHEMATICIEN / INFORMATICIEN (H/F),-
Givaudan,Data Insights Expert - m/f,-
PwC,Consultant Data junior ou expérimenté,-
Airmis,CONSULTANT(E) CHEF DE PROJET DATA,-
Ebiznext,Data Engineer Expérimenté - H/F,-
ENGIE IT,Alternance - Global SOC – Cyber Security Data Scientist (H/F),665 avis
ENGIE,ALT - Data Scientist (H/F) en alternance,665 avis
Actimage,Chef de Projet Blockchain,5 avis
ALTER SOLUTIONS,Chargé de mission réglementation des substances F/H,-
Expectra.fr,DÉVELOPPEUR BIG DATA (F/H),37 avis
Dalkia,Analyste Achat - Data Scientist - H/F,387 avis
Exakis,Consultant en organisation – Data Science (H/F),8 avis
ZENIKA,Data Ingénieur F/H,-
DATAVALUE CONSULTING,Data Scientist F/H,-
Smarteo,Un expert BIG DATA sur 94 / Freelance,-
ASI,Chef de projet(s) - Data Intelligence F/H,267 avis
LOGTEAM,architecte informatique Big Data AWS,-
Smart,Data Architect - H/F,227 avis
NOKIA,Stage : Data Scientist (H/F),3 315 avis
Groupe Nextedia,Coach Craftmanship F/H,-
EXteam,Data Engineer H/F / Freelance,-
Hitachi Vantara,Configuration Strategist,-
Dentsu Aegis,Assistant Consultant Data H/F,114 avis
Key Performance Group,STAGE - Data Analyst h/f Paris,-
AMF,Ingénieur intégration ICY (H/F),106 avis
Teamnet France,DEVELOPPEUR EN INTELLIGENCE ARTIFICIELLE (H/F),-
Lafarge,Titre de l'annonce Data Scientist Marge Arrière en Alternance (H/F),517 avis
Hanami International,Non-client-facing Internal Audit Manager role in Big 4 - Paris - zero travel!,-
Renault,APPR - BAC+5 - Apprenti(e) Développeur Data Analyste H/F,3 045 avis
